gender,french_word,english_word,category,level
F,agrafeuse,stapler,stationary,1
F,règle,ruler,stationary,1
M,classeur,file,stationary,1
F,gomme,eraser,stationary,1
F,calculatrice,calculator,stationary,1
M,stylo,pen,stationary,1
M,livre,textbook,stationary,1
M,cahier,notebook,stationary,1
M,crayon,pencil,stationary,1
M,papier,paper,stationary,1
F,trousse,pencil case,stationary,1
M,taille-crayon,sharpener,stationary,1
M,trombone,paper-clip,stationary,1
M,chien,dog,farm_animal,1
F,chat,cat,farm_animal,1
F,vache,cow,farm_animal,1
M,canard,duck,farm_animal,1
M,cochon,pig,farm_animal,1
M,mouton,sheep,farm_animal,1
F,poule,hen,farm_animal,1
M,cheval,horse,farm_animal,1
F,chèvre,goat,farm_animal,1
M,coq,rooster,farm_animal,1
M,âne,donkey,farm_animal,1
M,lait,milk,food_drinks,2
M,fromage,cheese,food_drinks,2
M,poulet,chicken,food_drinks,2
F,glace,ice-cream,food_drinks,2
M,yaourt,yogurt,food_drinks,2
M,pain,bread,food_drinks,2
F,banane,banana,food_drinks,2
F,pomme,apple,food_drinks,2
M,poisson,fish,food_drinks,2
M,beurre,butter,food_drinks,2
M,citron,lemon,food_drinks,2
F,friase,strawberry,food_drinks,2
